hwathletic$0,0,<-,varx1$0
hwathletic$0,0,JJ,varx1$0
defrelate$0,0,VB,vare1$0
vare1$0,0,arg1,varx1$0
vare1$0,0,arg2,varx19$0
defto$0,0,IN,vare1$0
vare1$0,0,arg1,varx5$0
defor$0,0,CC,vare3$0
vare3$0,0,arg1,vare1$0
vare3$0,0,arg2,vare2$0
defbefit$0,0,VB,vare2$0
vare2$0,0,arg1,varx1$0
vare2$0,0,arg2,varx5$0
defathletics$0,0,NN,varx2$0
defor$0,0,CC,varx5$0
varx5$0,0,arg1,varx2$0
varx5$0,0,arg2,varx3$0
defathlete$0,0,NN,varx3$0
hwblack_september_movement$1,1,<-,varx1$1
hwblack_september_movement$1,1,NN,varx1$1
defformer$1,1,JJ,varx1$1
defpalestinian$1,1,JJ,varx1$1
defterrorist$1,1,JJ,varx1$1
deforganization$1,1,NN,varx1$1
defassassinate$1,1,VB,vare1$1
vare1$1,1,arg1,varx1$1
vare1$1,1,arg2,varx2$1
defprime$1,1,NN,varx2$1
defminister$1,1,NN,varx3$1
defof$1,1,IN,varx2$1
varx2$1,1,arg1,varx4$1
defjordan$1,1,NN,varx4$1
defand$1,1,CC,vare3$1
vare3$1,1,arg1,vare1$1
defduring$1,1,IN,vare3$1
vare3$1,1,arg1,varx5$1
def1972$1,1,JJ,varx5$1
defolympic$1,1,NN,varx5$1
defgame$1,1,NN,varx6$1
defin$1,1,IN,varx5$1
varx5$1,1,arg1,varx7$1
defmunich$1,1,NN,varx7$1
defkill$1,1,VB,vare2$1
vare2$1,1,arg1,varx5$1
vare2$1,1,arg2,varx8$1
def11$1,1,JJ,varx8$1
defisraeli$1,1,JJ,varx8$1
defathlete$1,1,NN,varx8$1
hwfosbury$2,2,<-,varx1$2
hwfosbury$2,2,NN,varx1$2
defunited$2,2,NN,varx1$2
defstate$2,2,NN,varx2$2
defathlete$2,2,NN,varx3$2
defrevolutionize$2,2,VB,vare1$2
vare1$2,2,arg1,varx1$2
vare1$2,2,arg2,varx4$2
defhigh$2,2,JJ,varx4$2
defjump$2,2,NN,varx4$2
defby$2,2,IN,varx4$2
varx4$2,2,arg1,vare2$2
defintroduce$2,2,VB,vare2$2
vare2$2,2,arg1,varx4$2
vare2$2,2,arg2,varx5$2
deffosbury$2,2,JJ,varx5$2
defflop$2,2,NN,varx5$2
defin$2,2,IN,varx5$2
varx5$2,2,arg1,varx6$2
def1968$2,2,JJ,varx6$2
defolympics$2,2,NN,varx6$2
hwlewis$3,3,<-,varx1$3
hwlewis$3,3,NN,varx1$3
defunited$3,3,NN,varx1$3
defstate$3,3,NN,varx2$3
defathlete$3,3,NN,varx3$3
defwin$3,3,VB,vare1$3
vare1$3,3,arg1,varx1$3
vare1$3,3,arg2,varx4$3
defgold$3,3,JJ,varx4$3
defmedal$3,3,NN,varx4$3
defat$3,3,IN,varx4$3
varx4$3,3,arg1,varx5$3
defolympics$3,3,NN,varx5$3
deffor$3,3,IN,vare1$3
vare1$3,3,arg1,varx6$3
defskill$3,3,NN,varx6$3
defin$3,3,IN,varx6$3
varx6$3,3,arg1,vare4$3
defsprint$3,3,VB,vare2$3
vare2$3,3,arg1,varx6$3
vare2$3,3,arg2,varx26$3
defand$3,3,CC,vare4$3
vare4$3,3,arg1,vare2$3
vare4$3,3,arg2,vare3$3
defjump$3,3,VB,vare3$3
vare3$3,3,arg1,varx6$3
vare3$3,3,arg2,varx26$3
hwmathias$4,4,<-,varx1$4
hwmathias$4,4,NN,varx1$4
defunited$4,4,NN,varx1$4
defstate$4,4,NN,varx2$4
defathlete$4,4,NN,varx3$4
defwin$4,4,VB,vare1$4
vare1$4,4,arg1,varx1$4
vare1$4,4,arg2,varx4$4
defolympic$4,4,NN,varx4$4
defgold$4,4,NN,varx5$4
defmedal$4,4,NN,varx6$4
defin$4,4,IN,vare1$4
vare1$4,4,arg1,varx7$4
defdecathlon$4,4,NN,varx7$4
hwolympian$5,5,<-,varx1$5
hwolympian$5,5,NN,varx1$5
defathlete$5,5,NN,varx1$5
defparticipate$5,5,VB,vare1$5
vare1$5,5,arg1,varx1$5
vare1$5,5,arg2,varx3$5
defin$5,5,IN,vare1$5
vare1$5,5,arg1,varx2$5
defolympic_games$5,5,NN,varx2$5
hwowens$6,6,<-,varx1$6
hwowens$6,6,NN,varx1$6
defunited$6,6,NN,varx2$6
defstate$6,6,NN,varx3$6
defathlete$6,6,NN,varx4$6
defand$6,6,CC,varx1$6
varx1$6,6,arg1,varx2$6
varx1$6,6,arg2,varx5$6
defblack$6,6,NN,varx5$6
defamerican$6,6,NN,varx6$6
defsuccess$6,6,NN,varx7$6
defin$6,6,IN,varx7$6
varx7$6,6,arg1,varx8$6
def1936$6,6,JJ,varx8$6
defolympic$6,6,NN,varx8$6
defgame$6,6,NN,varx9$6
defin$6,6,IN,varx7$6
varx7$6,6,arg1,varx10$6
defberlin$6,6,NN,varx10$6
defoutrage$6,6,VB,vare1$6
vare1$6,6,arg1,varx10$6
vare1$6,6,arg2,varx11$6
defhitler$6,6,NN,varx11$6
hwprotropin$7,7,<-,varx1$7
hwprotropin$7,7,NN,varx1$7
defuse$7,7,NN,varx1$7
defby$7,7,IN,varx1$7
varx1$7,7,arg1,varx2$7
defathlete$7,7,NN,varx2$7
defand$7,7,CC,varx5$7
varx5$7,7,arg1,varx1$7
varx5$7,7,arg2,varx3$7
defweight$7,7,NN,varx3$7
deflifter$7,7,NN,varx4$7
defbe$7,7,VB,vare1$7
vare1$7,7,arg1,varx3$7
vare1$7,7,arg2,vare2$7
defban$7,7,VB,vare2$7
vare2$7,7,arg1,varx6$7
vare2$7,7,arg2,varx3$7
hwthorpe$8,8,<-,varx1$8
hwthorpe$8,8,NN,varx1$8
defoutstanding$8,8,JJ,varx1$8
defunited$8,8,NN,varx1$8
defstate$8,8,NN,varx2$8
defathlete$8,8,NN,varx3$8
hwzaharias$9,9,<-,varx1$9
hwzaharias$9,9,NN,varx1$9
defoutstanding$9,9,JJ,varx1$9
defunited$9,9,NN,varx1$9
defstate$9,9,NN,varx2$9
defathlete$9,9,NN,varx3$9
hwacrobat$10,10,<-,varx1$10
hwacrobat$10,10,NN,varx1$10
defathlete$10,10,NN,varx1$10
defperform$10,10,VB,vare1$10
vare1$10,10,arg1,varx1$10
vare1$10,10,arg2,varx2$10
defacts$10,10,NN,varx2$10
defrequire$10,10,VB,vare2$10
vare2$10,10,arg1,varx2$10
vare2$10,10,arg2,varx6$10
defskill$10,10,NN,varx3$10
defand$10,10,CC,varx6$10
varx6$10,10,arg1,varx3$10
varx6$10,10,arg2,varx7$10
defagility$10,10,NN,varx4$10
defand$10,10,CC,varx7$10
varx7$10,10,arg1,varx4$10
varx7$10,10,arg2,varx5$10
defcoordination$10,10,NN,varx5$10
hwathlete$11,11,<-,varx1$11
hwathlete$11,11,NN,varx1$11
defperson$11,11,NN,varx1$11
deftrain$11,11,VB,vare1$11
vare1$11,11,arg1,varx3$11
vare1$11,11,arg2,varx1$11
defto$11,11,IN,vare1$11
vare1$11,11,arg1,vare2$11
defcompete$11,11,VB,vare2$11
vare2$11,11,arg1,varx1$11
vare2$11,11,arg2,varx4$11
defin$11,11,IN,vare2$11
vare2$11,11,arg1,varx2$11
defsport$11,11,NN,varx2$11
hwathletic_contest$12,12,<-,varx1$12
hwathletic_contest$12,12,NN,varx1$12
defcontest$12,12,NN,varx1$12
defbetween$12,12,IN,varx1$12
varx1$12,12,arg1,varx2$12
defathlete$12,12,NN,varx2$12
hwathletic_training$13,13,<-,varx1$13
hwathletic_training$13,13,NN,varx1$13
defcourse$13,13,NN,varx1$13
defof$13,13,IN,varx1$13
varx1$13,13,arg1,varx6$13
defpractice$13,13,NN,varx2$13
defexercise$13,13,NN,varx3$13
defand$13,13,CC,varx6$13
varx6$13,13,arg1,varx2$13
varx6$13,13,arg2,varx3$13
varx6$13,13,arg3,varx4$13
defdiet$13,13,NN,varx4$13
defundertake$13,13,VB,vare1$13
vare1$13,13,arg1,varx5$13
vare1$13,13,arg2,varx6$13
defby$13,13,IN,vare1$13
vare1$13,13,arg1,varx5$13
defathlete$13,13,NN,varx5$13
hwball_hawk$14,14,<-,varx1$14
hwball_hawk$14,14,NN,varx1$14
defteam$14,14,NN,varx1$14
defathlete$14,14,NN,varx2$14
defbe$14,14,VB,vare1$14
vare1$14,14,arg1,varx1$14
vare1$14,14,arg2,vare2$14
defskilled$14,14,VB,vare2$14
vare2$14,14,arg1,varx4$14
vare2$14,14,arg2,varx1$14
defat$14,14,IN,vare2$14
vare2$14,14,arg1,vare5$14
defsteal$14,14,VB,vare3$14
vare3$14,14,arg1,varx1$14
vare3$14,14,arg2,varx3$14
defor$14,14,CC,vare5$14
vare5$14,14,arg1,vare3$14
vare5$14,14,arg2,vare4$14
defcatch$14,14,VB,vare4$14
vare4$14,14,arg1,varx1$14
vare4$14,14,arg2,varx3$14
defball$14,14,NN,varx3$14
hwballplayer$15,15,<-,varx1$15
hwballplayer$15,15,NN,varx1$15
defathlete$15,15,NN,varx1$15
defplay$15,15,VB,vare1$15
vare1$15,15,arg1,varx1$15
vare1$15,15,arg2,varx2$15
defbaseball$15,15,NN,varx2$15
hwbasketball_player$16,16,<-,varx1$16
hwbasketball_player$16,16,NN,varx1$16
defathlete$16,16,NN,varx1$16
defplay$16,16,VB,vare1$16
vare1$16,16,arg1,varx1$16
vare1$16,16,arg2,varx2$16
defbasketball$16,16,NN,varx2$16
hwbounder$17,17,<-,varx1$17
hwbounder$17,17,NN,varx1$17
defathlete$17,17,NN,varx1$17
defbound$17,17,VB,vare1$17
vare1$17,17,arg1,varx1$17
vare1$17,17,arg2,varx2$17
defor$17,17,CC,vare3$17
vare3$17,17,arg1,vare1$17
vare3$17,17,arg2,vare2$17
defleap$17,17,VB,vare2$17
vare2$17,17,arg1,varx1$17
vare2$17,17,arg2,varx3$17
hwcoach$18,18,<-,varx1$18
hwcoach$18,18,NN,varx1$18
defsomeone$18,18,NN,varx1$18
defbe$18,18,IN,vare1$18
vare1$18,18,arg1,varx1$18
vare1$18,18,arg2,varx2$18
defin_charge$18,18,JJ,varx2$18
defof$18,18,IN,varx2$18
varx2$18,18,arg1,vare1$18
deftrain$18,18,VB,vare1$18
vare1$18,18,arg1,varx1$18
vare1$18,18,arg2,varx5$18
defathlete$18,18,NN,varx3$18
defor$18,18,CC,varx5$18
varx5$18,18,arg1,varx3$18
varx5$18,18,arg2,varx4$18
defteam$18,18,NN,varx4$18
hwconditioner$19,19,<-,varx1$19
hwconditioner$19,19,NN,varx1$19
deftrainer$19,19,NN,varx1$19
defof$19,19,IN,varx1$19
varx1$19,19,arg1,varx2$19
defathlete$19,19,NN,varx2$19
hwcricketer$20,20,<-,varx1$20
hwcricketer$20,20,NN,varx1$20
defathlete$20,20,NN,varx1$20
defplay$20,20,VB,vare1$20
vare1$20,20,arg1,varx1$20
vare1$20,20,arg2,varx2$20
defcricket$20,20,NN,varx2$20
hwfield_house$21,21,<-,varx1$21
hwfield_house$21,21,NN,varx1$21
defathletic_facility$21,21,NN,varx1$21
defathlete$21,21,NN,varx2$21
defprepare$21,21,VB,vare1$21
vare1$21,21,arg1,varx2$21
vare1$21,21,arg2,varx26$21
