hwathletic$0,0,"athletic",JJ,"['x1']","--","athletic%3:01:00:","[athletic%3:01:00:]athletic:JJ(x1) -> [relate%2<>relate%2:42:00:]relate:VB(e1,x1,x19) to:IN(e1,x5) or:CC(e3,e1,e2) [befit%2|befitting%3<>befit%2:42:00:]befit:VB(e2,x1,x5) [athletics%1<>athletics%1:11:00:]athletics:NN(x2) or:CC(x5,x2,x3) [athlete%1<>athlete%1:18:00:]athlete:NN(x3)"
hwblack_september_movement$1,1,"black_september_movement",NN,"['x1']","--","black_september_movement%1:14:00:","[black_september_movement%1:14:00:]black_september_movement:NN(x1) -> [former%1|former%3<>former%3:00:02:past:00]former:JJ(x1) palestinian:JJ(x1) [terrorist%1<>terrorist_organization%1:14:00:]terrorist:JJ(x1) [organization%1<>]organization:NN(x1) [assassinate%2|assassinated%3<>assassinate%2:41:00:]assassinate:VB(e1,x1,x2) prime:NN(x2) minister:NN(x3) of:IN(x2,x4) jordan:NN(x4) and:CC(e3,e1) during:IN(e3,x5) 1972:JJ(x5) olympic:NN(x5) game:NN(x6) in:IN(x5,x7) munich:NN(x7) [kill%2<>kill%2:35:00:]kill:VB(e2,x5,x8) 11:JJ(x8) israeli:JJ(x8) [athlete%1<>athlete%1:18:00:]athlete:NN(x8)"
hwfosbury$2,2,"fosbury",NN,"['x1']","--","fosbury%1:18:00:|dick_fosbury%1:18:00:|richard_d._fosbury%1:18:00:","[fosbury%1:18:00:|dick_fosbury%1:18:00:|richard_d._fosbury%1:18:00:]fosbury:NN(x1) -> united:NN(x1) state:NN(x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x3) [revolutionize%2<>revolutionize%2:30:00:]revolutionize:VB(e1,x1,x4) [high%1|high%3|high%4<>high_jump%1:11:00:]high:JJ(x4) [jump%1|jump%2<>]jump:NN(x4) by:IN(x4,e2) [introduce%2<>introduce%2:36:00:]introduce:VB(e2,x4,x5) fosbury:JJ(x5) [flop%1|flop%2|flop%4<>]flop:NN(x5) in:IN(x5,x6) 1968:JJ(x6) olympics:NN(x6)"
hwlewis$3,3,"lewis",NN,"['x1']","--","lewis%1:18:04:|carl_lewis%1:18:00:|frederick_carleton_lewis%1:18:00:","[lewis%1:18:04:|carl_lewis%1:18:00:|frederick_carleton_lewis%1:18:00:]lewis:NN(x1) -> united:NN(x1) state:NN(x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x3) [won%1|win%2|won%3<>win%2:33:00:]win:VB(e1,x1,x4) [gold%1|gold%3<>gold_medal%1:06:00:]gold:JJ(x4) [medal%1<>]medal:NN(x4) at:IN(x4,x5) olympics:NN(x5) for:IN(e1,x6) [skill%1<>]skill:NN(x6) in:IN(x6,e4) [sprint%2<>sprint%2:38:00:]sprint:VB(e2,x6,x26) and:CC(e4,e2,e3) [jumping%1|jump%2<>]jump:VB(e3,x6,x26)"
hwmathias$4,4,"mathias",NN,"['x1']","--","mathias%1:18:00:|bob_mathias%1:18:00:|robert_bruce_mathias%1:18:00:","[mathias%1:18:00:|bob_mathias%1:18:00:|robert_bruce_mathias%1:18:00:]mathias:NN(x1) -> united:NN(x1) state:NN(x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x3) [won%1|win%2|won%3<>win%2:40:00:]win:VB(e1,x1,x4) olympic:NN(x4) [gold%1|gold%3<>gold_medal%1:06:00:]gold:NN(x5) [medal%1<>]medal:NN(x6) in:IN(e1,x7) [decathlon%1<>decathlon%1:11:00:]decathlon:NN(x7)"
hwolympian$5,5,"olympian",NN,"['x1']","--","olympian%1:18:00:","[olympian%1:18:00:]olympian:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [participate%2<>participate%2:33:00:]participate:VB(e1,x1,x3) in:IN(e1,x2) olympic_games:NN(x2)"
hwowens$6,6,"owens",NN,"['x1']","--","owens%1:18:00:|jesse_owens%1:18:00:|james_cleveland_owens%1:18:00:","[owens%1:18:00:|jesse_owens%1:18:00:|james_cleveland_owens%1:18:00:]owens:NN(x1) -> united:NN(x2) state:NN(x3) [athlete%1<>athlete%1:18:00:]athlete:NN(x4) and:CC(x1,x2,x5) black:NN(x5) american:NN(x6) [success%1<>success%1:04:00:]success:NN(x7) in:IN(x7,x8) 1936:JJ(x8) olympic:NN(x8) game:NN(x9) in:IN(x7,x10) berlin:NN(x10) [outrage%2|outraged%3<>outraged%3:00:00:angry:00]outrage:VB(e1,x10,x11) hitler:NN(x11)"
hwprotropin$7,7,"protropin",NN,"['x1']","--","protropin%1:08:00:","[protropin%1:08:00:]protropin:NN(x1) -> [use%1|use%2<>]use:NN(x1) by:IN(x1,x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x2) and:CC(x5,x1,x3) weight:NN(x3) lifter:NN(x4) [i%1|be%2<>]be:VB(e1,x3,e2) [ban%2|banned%3<>banned%3:00:00:illegal:00]ban:VB(e2,x6,x3)"
hwthorpe$8,8,"thorpe",NN,"['x1']","--","thorpe%1:18:00:|jim_thorpe%1:18:00:|james_francis_thorpe%1:18:00:","[thorpe%1:18:00:|jim_thorpe%1:18:00:|james_francis_thorpe%1:18:00:]thorpe:NN(x1) -> [outstanding%3<>outstanding%3:00:00:important:00]outstanding:JJ(x1) united:NN(x1) state:NN(x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x3)"
hwzaharias$9,9,"zaharias",NN,"['x1']","--","zaharias%1:18:00:|babe_zaharias%1:18:00:|didrikson%1:18:00:|babe_didrikson%1:18:00:|mildred_ella_didrikson%1:18:00:|mildred_ella_didrikson_zaharias%1:18:00:","[zaharias%1:18:00:|babe_zaharias%1:18:00:|didrikson%1:18:00:|babe_didrikson%1:18:00:|mildred_ella_didrikson%1:18:00:|mildred_ella_didrikson_zaharias%1:18:00:]zaharias:NN(x1) -> [outstanding%3<>outstanding%3:00:00:superior:02]outstanding:JJ(x1) united:NN(x1) state:NN(x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x3)"
hwacrobat$10,10,"acrobat",NN,"['x1']","--","acrobat%1:18:00:","[acrobat%1:18:00:]acrobat:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [perform%2<>]perform:VB(e1,x1,x2) acts:NN(x2) [require%2<>require%2:42:00:]require:VB(e2,x2,x6) [skill%1<>]skill:NN(x3) and:CC(x6,x3,x7) [agility%1<>agility%1:07:00:]agility:NN(x4) and:CC(x7,x4,x5) [coordination%1<>coordination%1:09:00:]coordination:NN(x5)"
hwathlete$11,11,"athlete",NN,"['x1']","--","athlete%1:18:00:|jock%1:18:00:","[athlete%1:18:00:|jock%1:18:00:]athlete:NN(x1) -> [person%1<>person%1:03:00:]person:NN(x1) [train%2|trained%3<>train%2:31:00:]train:VB(e1,x3,x1) to:IN(e1,e2) [compete%2<>compete%2:33:00:]compete:VB(e2,x1,x4) in:IN(e2,x2) [sport%1|sport%2<>sport%1:04:00:]sport:NN(x2)"
hwathletic_contest$12,12,"athletic_contest",NN,"['x1']","--","athletic_contest%1:11:00:|athletic_competition%1:11:00:|athletics%1:11:00:","[athletic_contest%1:11:00:|athletic_competition%1:11:00:|athletics%1:11:00:]athletic_contest:NN(x1) -> [contest%1|contest%2<>contest%1:11:00:]contest:NN(x1) [between%4<>]between:IN(x1,x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x2)"
hwathletic_training$13,13,"athletic_training",NN,"['x1']","--","athletic_training%1:04:00:","[athletic_training%1:04:00:]athletic_training:NN(x1) -> [course%1|course%2|course%4<>course%1:14:00:]course:NN(x1) of:IN(x1,x6) [practice%1|practice%2<>practice%1:04:02:]practice:NN(x2) [exercise%1|exercise%2<>]exercise:NN(x3) and:CC(x6,x2,x3,x4) [diet%1|diet%2<>diet%1:13:00:]diet:NN(x4) [undertake%2<>undertake%2:32:00:]undertake:VB(e1,x5,x6) by:IN(e1,x5) [athlete%1<>athlete%1:18:00:]athlete:NN(x5)"
hwball_hawk$14,14,"ball_hawk",NN,"['x1']","--","ball_hawk%1:18:00:","[ball_hawk%1:18:00:]ball_hawk:NN(x1) -> [team%1|team%2<>team%1:14:00:]team:NN(x1) [athlete%1<>athlete%1:18:00:]athlete:NN(x2) [i%1|be%2<>]be:VB(e1,x1,e2) [skilled%3<>skilled%3:00:00:]skilled:VB(e2,x4,x1) at:IN(e2,e5) [stealing%1|steal%2<>steal%2:40:00:]steal:VB(e3,x1,x3) or:CC(e5,e3,e4) [catching%1|catch%2|catching%3<>catch%2:35:00:]catch:VB(e4,x1,x3) [ball%1|ball%2<>ball%1:06:01:]ball:NN(x3)"
hwballplayer$15,15,"ballplayer",NN,"['x1']","--","ballplayer%1:18:00:|baseball_player%1:18:00:","[ballplayer%1:18:00:|baseball_player%1:18:00:]ballplayer:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x2) [baseball%1<>baseball%1:04:00:]baseball:NN(x2)"
hwbasketball_player$16,16,"basketball_player",NN,"['x1']","--","basketball_player%1:18:00:|basketeer%1:18:00:|cager%1:18:00:","[basketball_player%1:18:00:|basketeer%1:18:00:|cager%1:18:00:]basketball_player:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x2) [basketball%1<>basketball%1:04:00:]basketball:NN(x2)"
hwbounder$17,17,"bounder",NN,"['x1']","--","bounder%1:18:01:|leaper%1:18:00:","[bounder%1:18:01:|leaper%1:18:00:]bounder:NN(x1) -> athlete:NN(x1) [bound%1|bounds%1|bound%2<>]bound:VB(e1,x1,x2) or:CC(e3,e1,e2) [leap%1|leap%2<>]leap:VB(e2,x1,x3)"
hwcoach$18,18,"coach",NN,"['x1']","--","coach%1:18:01:|manager%1:18:01:|handler%1:18:00:","[coach%1:18:01:|manager%1:18:01:|handler%1:18:00:]coach:NN(x1) -> [someone%1<>someone%1:03:00:]someone:NN(x1) be:IN(e1,x1,x2) in_charge:JJ(x2) of:IN(x2,e1) [training%1|train%2<>train%2:32:00:]train:VB(e1,x1,x5) [athlete%1<>athlete%1:18:00:]athlete:NN(x3) or:CC(x5,x3,x4) [team%1|team%2<>team%1:14:00:]team:NN(x4)"
hwconditioner$19,19,"conditioner",NN,"['x1']","--","conditioner%1:18:00:","[conditioner%1:18:00:]conditioner:NN(x1) -> [trainer%1<>trainer%1:18:00:]trainer:NN(x1) of:IN(x1,x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x2)"
hwcricketer$20,20,"cricketer",NN,"['x1']","--","cricketer%1:18:00:","[cricketer%1:18:00:]cricketer:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x2) [cricket%1|cricket%2<>cricket%1:04:00:]cricket:NN(x2)"
hwfield_house$21,21,"field_house",NN,"['x1']","--","field_house%1:06:00:","[field_house%1:06:00:]field_house:NN(x1) -> athletic_facility:NN(x1) [athlete%1<>athlete%1:18:00:]athlete:NN(x2) [prepare%2<>prepare%2:30:00:]prepare:VB(e1,x2,x26) for:IN(e1,x3) [sport%1|sport%2<>sport%1:04:00:]sport:NN(x3)"
hwfootball_player$22,22,"football_player",NN,"['x1']","--","football_player%1:18:00:|footballer%1:18:00:","[football_player%1:18:00:|footballer%1:18:00:]football_player:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x2) american_football:NN(x2)"
hwfree_agency$23,23,"free_agency",NN,"['x1']","--","free_agency%1:26:00:","[free_agency%1:26:00:]free_agency:NN(x1) -> [state%1|state%2<>state%1:03:00:]state:NN(x1) of:IN(x1,x2) [professional%1|professional%3<>professional%3:00:01:]professional:JJ(x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x2) [i%1|be%2<>]be:VB(e1,x2,e2) [free%1|free%2|free%3|free%4<>]free:JJ(2) to:IN(e1,e2) [negotiate%2<>negotiate%2:32:00:]negotiate:VB(e2,x2,x3) [contract%1|contract%2<>contract%1:10:00:]contract:NN(x3) to:IN(x3,e3) [play%1|play%2<>]play:VB(e3,x3,x26) for:IN(e3,x4) any:JJ(x4) [team%1|team%2<>team%1:14:00:]team:NN(x4)"
hwfree_agent$24,24,"free_agent",NN,"['x1']","--","free_agent%1:18:01:","[free_agent%1:18:01:]free_agent:NN(x1) -> [professional%1|professional%3<>professional%3:00:01:]professional:JJ(x1) [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [i%1|be%2<>]be:VB(e1,x1,e2) [free%1|free%2|free%3|free%4<>]free:JJ(2) to:IN(e1,e2) [sign%1|sign%2|sign%3<>]sign:VB(e2,x1,x2) [contract%1|contract%2<>contract%1:10:00:]contract:NN(x2) to:IN(x2,e3) [play%1|play%2<>]play:VB(e3,x2,x26) for:IN(e3,x3) any:JJ(x3) [team%1|team%2<>team%1:14:00:]team:NN(x3)"
hwgymnast$25,25,"gymnast",NN,"['x1']","--","gymnast%1:18:00:","[gymnast%1:18:00:]gymnast:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [i%1|be%2<>]be:VB(e1,x1,x26) [skilled%3<>skilled%3:00:00:]skilled:JJ(x3) in:IN(e1,x2) [gymnastics%1<>gymnastics%1:04:00:]gymnastics:NN(x2)"
hwhockey_player$26,26,"hockey_player",NN,"['x1']","--","hockey_player%1:18:00:|ice-hockey_player%1:18:00:","[hockey_player%1:18:00:|ice-hockey_player%1:18:00:]hockey_player:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x2) [hockey%1<>hockey%1:04:01:]hockey:NN(x2)"
hwhurdler$27,27,"hurdler",NN,"['x1']","--","hurdler%1:18:00:","[hurdler%1:18:00:]hurdler:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [run%1|run%2<>]run:VB(e1,x1,x2) [hurdle%1|hurdles%1|hurdle%2<>hurdles%1:11:00:]hurdles:NN(x2)"
hwjumper$28,28,"jumper",NN,"['x1']","--","jumper%1:06:03:","[jumper%1:06:03:]jumper:NN(x1) -> athlete:NN(x1) compete:VB(e1,x1,x2) at:IN(e1,e2) jump:VB(e2,x1,x3)"
hwlacrosse_player$29,29,"lacrosse_player",NN,"['x1']","--","lacrosse_player%1:18:00:","[lacrosse_player%1:18:00:]lacrosse_player:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x2) [lacrosse%1<>lacrosse%1:04:00:]lacrosse:NN(x2)"
hwletterman$30,30,"letterman",NN,"['x1']","--","letterman%1:18:00:","[letterman%1:18:00:]letterman:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [have%2<>]have:VB(e1,x1,e2) [earn%2|earned%3<>earn%2:40:03:]earn:VB(e2,x5,x1) [letter%1|letter%2<>letter%1:10:02:]letter:NN(x2) in:IN(e2,x3) [school%1|school%2<>school%1:14:00:]school:NN(x3) [sport%1|sport%2<>sport%1:04:00:]sport:NN(x4)"
hwmouthpiece$31,31,"mouthpiece",NN,"['x1']","--","mouthpiece%1:06:03:|gumshield%1:06:00:","[mouthpiece%1:06:03:|gumshield%1:06:00:]mouthpiece:NN(x1) -> [equipment%1<>equipment%1:06:00:]equipment:NN(x1) [protect%2<>protect%2:33:00:]protect:VB(e1,x1,x2) [athlete%1<>athlete%1:18:00:]athlete:NN(x2) _s:VB(e2,x2,x3) [mouth%1|mouth%2<>mouth%1:08:01:]mouth:NN(x3)"
hwpalestra$32,32,"palestra",NN,"['x1']","--","palestra%1:06:00:|palaestra%1:06:00:","[palestra%1:06:00:|palaestra%1:06:00:]palestra:NN(x1) -> [public%1|public%3<>public%3:00:00:]public:JJ(x1) [place%1|place%2<>place%1:15:00:]place:NN(x1) in:IN(x1,x7) [ancient%1|ancient%3<>ancient%3:00:00:past:00]ancient:JJ(x7) greece:NN(x2) or:CC(x7,x2,x3) rome:NN(x3) [devote%2|devoted%3<>devote%2:32:00:]devote:VB(e1,x9,x1) to:IN(e1,x4) [training%1|train%2<>training%1:04:00:]training:NN(x4) of:IN(x4,x8) [wrestler%1<>wrestler%1:18:00:]wrestler:NN(x5) and:CC(x8,x5,x6) [other%3<>]other:JJ(x6) [athlete%1<>athlete%1:18:00:]athlete:NN(x6)"
hwpentathlete$33,33,"pentathlete",NN,"['x1']","--","pentathlete%1:18:00:","[pentathlete%1:18:00:]pentathlete:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [compete%2<>compete%2:33:00:]compete:VB(e1,x1,x3) in:IN(e1,x2) [pentathlon%1<>pentathlon%1:11:00:]pentathlon:NN(x2)"
hwprofessional$34,34,"professional",NN,"['x1']","--","professional%1:18:02:|pro%1:18:00:","[professional%1:18:02:|pro%1:18:00:]professional:NN(x1) -> [athlete%1<>athlete%1:18:00:]athlete:NN(x1) [play%1|play%2<>]play:VB(e1,x1,x3) for:IN(e1,x2) [pay%1|pay%2<>pay%1:21:01:]pay:NN(x2)"
